Order Date,Order ID,Cust. ID,Cust. Name,Cust. Segment,Order Details ID,Product ID,Product Name,Prod. Category,Prod. Subcategory,Prod. Manufacturer,Quantity,Discount,Profit,Profit Ratio,Sales,Shipping Date,Shipping City,Ship State,Ship Region,Ship Post Code,Ship Mode,Year,
1/3/2015,CA-2015-103800,199,Darren Powers,Consumer,121,1088,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Office Supplies,Paper,Message Book,2,20.00%,$6.00,34.00%,$16.00,1/7/2015,Houston,Texas,Central,77095,Standard Class,2015,Jan-2015
1/4/2015,CA-2015-112326,612,Phillina Ober,Home Office,333,709,GBC Standard Plastic Binding Systems Combs,Office Supplies,Binders,GBC,2,80.00%,-$5.00,-155.00%,$4.00,1/8/2015,Naperville,Illinois,Central,60540,Standard Class,2015,Jan-2015
1/4/2015,CA-2015-112326,612,Phillina Ober,Home Office,334,218,Avery 508,Office Supplies,Labels,Avery,3,20.00%,$4.00,36.00%,$12.00,1/8/2015,Naperville,Illinois,Central,60540,Standard Class,2015,Jan-2015
1/4/2015,CA-2015-112326,612,Phillina Ober,Home Office,335,1373,SAFCO Boltless Steel Shelving,Office Supplies,Storage,SAFCO,3,20.00%,-$65.00,-24.00%,$273.00,1/8/2015,Naperville,Illinois,Central,60540,Standard Class,2015,Jan-2015
1/5/2015,CA-2015-141817,538,Mick Brown,Consumer,1052,251,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Office Supplies,Art,Avery,3,20.00%,$5.00,25.00%,$20.00,1/12/2015,Philadelphia,Pennsylvania,East,19143,Standard Class,2015,Jan-2015
1/6/2015,CA-2015-106054,342,Jack O'Briant,Corporate,182,522,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Art,Dixon,3,0.00%,$5.00,41.00%,$13.00,1/7/2015,Athens,Georgia,South,30605,First Class,2015,Jan-2015
1/6/2015,CA-2015-130813,481,Lycoris Saunders,Consumer,797,1830,Xerox 225,Office Supplies,Paper,Xerox,3,0.00%,$9.00,48.00%,$19.00,1/8/2015,Los Angeles,California,West,90049,Second Class,2015,Jan-2015
1/6/2015,CA-2015-167199,487,Maria Etezadi,Home Office,1608,1360,Rogers Handheld Barrel Pencil Sharpener,Office Supplies,Art,Rogers,2,0.00%,$1.00,27.00%,$5.00,1/10/2015,Henderson,Kentucky,South,42420,Standard Class,2015,Jan-2015
1/6/2015,CA-2015-167199,487,Maria Etezadi,Home Office,1609,1478,Southworth 25% Cotton Granite Paper & Envelopes,Office Supplies,Paper,Southworth,1,0.00%,$3.00,46.00%,$7.00,1/10/2015,Henderson,Kentucky,South,42420,Standard Class,2015,Jan-2015
1/6/2015,CA-2015-167199,487,Maria Etezadi,Home Office,1610,121,"Alliance Super-Size Bands, Assorted Sizes",Office Supplies,Fasteners,Alliance,4,0.00%,$0.00,1.00%,$31.00,1/10/2015,Henderson,Kentucky,South,42420,Standard Class,2015,Jan-2015
1/6/2015,CA-2015-167199,487,Maria Etezadi,Home Office,1611,726,GE 30524EE4,Technology,Phones,GE,2,0.00%,$114.00,29.00%,$392.00,1/10/2015,Henderson,Kentucky,South,42420,Standard Class,2015,Jan-2015
1/6/2015,CA-2015-167199,487,Maria Etezadi,Home Office,1612,897,Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,Ibico,2,0.00%,$274.00,45.00%,$610.00,1/10/2015,Henderson,Kentucky,South,42420,Standard Class,2015,Jan-2015
1/6/2015,CA-2015-167199,487,Maria Etezadi,Home Office,1613,1665,Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones,Other,4,0.00%,$204.00,27.00%,$756.00,1/10/2015,Henderson,Kentucky,South,42420,Standard Class,2015,Jan-2015
1/6/2015,CA-2015-167199,487,Maria Etezadi,Home Office,1614,744,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,Global,9,0.00%,$746.00,29.00%,"$2,574.00",1/10/2015,Henderson,Kentucky,South,42420,Standard Class,2015,Jan-2015
1/7/2015,CA-2015-105417,786,Vivek Sundaresam,Consumer,175,48,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Binders,Acco,7,80.00%,-$18.00,-175.00%,$10.00,1/12/2015,Huntsville,Texas,Central,77340,Standard Class,2015,Jan-2015
1/7/2015,CA-2015-105417,786,Vivek Sundaresam,Consumer,176,876,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,Howard Miller,3,60.00%,-$54.00,-70.00%,$77.00,1/12/2015,Huntsville,Texas,Central,77340,Standard Class,2015,Jan-2015
1/9/2015,CA-2015-135405,521,Melanie Seite,Consumer,909,1126,Newell 312,Office Supplies,Art,Newell,2,20.00%,$1.00,13.00%,$9.00,1/13/2015,Laredo,Texas,Central,78041,Standard Class,2015,Jan-2015
1/9/2015,CA-2015-135405,521,Melanie Seite,Consumer,910,1080,Memorex Micro Travel Drive 8 GB,Technology,Accessories,Memorex,3,20.00%,$10.00,31.00%,$31.00,1/13/2015,Laredo,Texas,Central,78041,Standard Class,2015,Jan-2015
1/10/2015,CA-2015-149020,52,Anthony Jacobs,Corporate,1199,190,Avery 482,Office Supplies,Labels,Avery,1,0.00%,$1.00,47.00%,$3.00,1/15/2015,Springfield,Virginia,South,22153,Standard Class,2015,Jan-2015
1/10/2015,CA-2015-149020,52,Anthony Jacobs,Corporate,1200,869,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings,Howard Miller,1,0.00%,$21.00,41.00%,$52.00,1/15/2015,Springfield,Virginia,South,22153,Standard Class,2015,Jan-2015
1/11/2015,CA-2015-130092,690,Seth Vernon,Consumer,779,498,"DAX Value U-Channel Document Frames, Easel Back",Furniture,Furnishings,DAX,2,0.00%,$3.00,31.00%,$10.00,1/14/2015,Dover,Delaware,East,19901,First Class,2015,Jan-2015
1/13/2015,CA-2015-109232,557,Natalie DeCherney,Consumer,252,756,Global Highback Leather Tilter in Burgundy,Furniture,Chairs,Global,6,0.00%,$87.00,16.00%,$546.00,1/16/2015,Mount Pleasant,South Carolina,South,29464,Second Class,2015,Jan-2015
1/13/2015,CA-2015-118192,527,Michael Moore,Consumer,470,259,Avery Metallic Poly Binders,Office Supplies,Binders,Avery,2,70.00%,-$3.00,-73.00%,$3.00,1/18/2015,Newark,Ohio,East,43055,Standard Class,2015,Jan-2015
1/13/2015,CA-2015-118192,527,Michael Moore,Consumer,471,1717,Xerox 1923,Office Supplies,Paper,Xerox,7,20.00%,$13.00,35.00%,$37.00,1/18/2015,Newark,Ohio,East,43055,Standard Class,2015,Jan-2015
1/13/2015,CA-2015-157147,107,Brian Dahlen,Consumer,1373,29,4009 Highlighters by Sanford,Office Supplies,Art,Other,5,0.00%,$7.00,33.00%,$20.00,1/18/2015,San Francisco,California,West,94109,Standard Class,2015,Jan-2015
1/13/2015,CA-2015-157147,107,Brian Dahlen,Consumer,1374,1195,"O'Sullivan Elevations Bookcase, Cherry Finish",Furniture,Bookcases,O'Sullivan,3,15.00%,$4.00,1.00%,$334.00,1/18/2015,San Francisco,California,West,94109,Standard Class,2015,Jan-2015
1/13/2015,CA-2015-157147,107,Brian Dahlen,Consumer,1375,1551,Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,Tennsco,5,0.00%,$239.00,18.00%,"$1,326.00",1/18/2015,San Francisco,California,West,94109,Standard Class,2015,Jan-2015
